sensor1,sensor2,sensor3,sensor4,labels
519,417,462,482,Lhemiplegia
519,412,464,483,Lhemiplegia
517,410,499,485,Lhemiplegia
511,410,512,495,Lhemiplegia
509,407,512,484,Lhemiplegia
507,401,513,477,Lhemiplegia
505,398,512,469,Lhemiplegia
502,399,511,465,Lhemiplegia
500,411,510,462,Lhemiplegia
498,451,505,459,Lhemiplegia
497,471,496,457,Lhemiplegia
497,474,487,457,Lhemiplegia
508,472,480,462,Lhemiplegia
513,474,475,488,Lhemiplegia
514,459,472,501,Lhemiplegia
512,439,470,505,Lhemiplegia
510,427,468,507,Lhemiplegia
507,418,467,508,Lhemiplegia
504,413,476,510,Lhemiplegia
502,408,496,509,Lhemiplegia
499,409,516,506,Lhemiplegia
498,405,517,496,Lhemiplegia
497,407,514,488,Lhemiplegia
495,412,513,479,Lhemiplegia
494,428,509,472,Lhemiplegia
493,460,507,475,Lhemiplegia
492,469,496,469,Lhemiplegia
491,473,486,471,Lhemiplegia
491,474,481,464,Lhemiplegia
502,472,475,462,Lhemiplegia
510,472,473,481,Lhemiplegia
513,467,469,498,Lhemiplegia
514,445,468,502,Lhemiplegia
514,431,466,504,Lhemiplegia
513,421,465,505,Lhemiplegia
513,414,463,505,Lhemiplegia
513,411,472,505,Lhemiplegia
511,406,499,503,Lhemiplegia
