sensor1,sensor2,sensor3,sensor4,labels
486,393,484,472,downstairs
505,393,473,473,downstairs
514,392,465,474,downstairs
513,391,458,473,downstairs
508,391,453,474,downstairs
503,391,449,474,downstairs
498,390,446,475,downstairs
495,390,444,475,downstairs
493,389,459,474,downstairs
490,390,506,475,downstairs
488,389,505,476,downstairs
488,388,504,477,downstairs
486,388,502,477,downstairs
485,388,499,477,downstairs
485,388,499,478,downstairs
484,389,490,479,downstairs
514,387,479,480,downstairs
513,387,470,480,downstairs
514,387,462,479,downstairs
514,387,456,479,downstairs
513,387,451,478,downstairs
510,388,448,479,downstairs
505,387,447,481,downstairs
501,387,492,480,downstairs
499,387,506,480,downstairs
497,386,505,481,downstairs
494,387,504,482,downstairs
493,387,502,484,downstairs
491,388,498,483,downstairs
489,387,493,482,downstairs
515,387,482,485,downstairs
515,386,473,483,downstairs
515,387,464,483,downstairs
512,387,458,482,downstairs
510,386,453,483,downstairs
506,387,449,483,downstairs
502,387,447,483,downstairs
499,388,489,483,downstairs
497,387,508,483,downstairs
495,388,507,486,downstairs
493,387,504,484,downstairs
491,388,501,485,downstairs
489,388,498,486,downstairs
488,388,492,485,downstairs
508,388,481,485,downstairs
513,388,473,485,downstairs
513,388,464,485,downstairs
511,388,458,484,downstairs
509,388,452,485,downstairs
505,388,449,484,downstairs
502,388,447,484,downstairs
498,390,499,485,downstairs
496,390,505,484,downstairs
494,389,503,485,downstairs
493,390,500,486,downstairs
490,389,494,485,downstairs
489,389,488,485,downstairs
488,389,478,485,downstairs
514,389,469,486,downstairs
513,389,461,485,downstairs
511,390,455,485,downstairs
507,389,450,485,downstairs
501,389,447,485,downstairs
498,390,446,485,downstairs
495,390,445,485,downstairs
492,391,504,485,downstairs
490,392,504,489,downstairs
489,392,503,492,downstairs
487,391,501,514,downstairs
486,390,500,492,downstairs
486,389,498,488,downstairs
484,399,497,488,downstairs
507,471,489,488,downstairs
510,500,480,489,downstairs
509,471,470,490,downstairs
509,454,463,502,downstairs
507,443,456,518,downstairs
503,436,452,522,downstairs
499,429,449,523,downstairs
497,425,446,522,downstairs
495,421,477,522,downstairs
492,418,488,520,downstairs
490,415,491,518,downstairs
489,412,490,506,downstairs
487,417,490,499,downstairs
486,440,489,494,downstairs
485,463,488,489,downstairs
484,468,486,486,downstairs
